PROJETO,PROBLEMA,QUANTIDADE
Kanleitos,Mismatched errors,0
Projeto Incluir,Mismatched errors,0
Bartech,Mismatched errors,0
Calf Generator,Mismatched errors,1023
Will List,Mismatched errors,0
Novolharua,Mismatched errors,166
Age-of-Philosophy,Mismatched errors,237
Apac,Mismatched errors,19
Pain-o-matic,Mismatched errors,8
apacteca,Mismatched errors,20
pectometro,Mismatched errors,0
gmfonseca,Mismatched errors,80
Dcbio,Mismatched errors,899
Automecânica Vailante,Mismatched errors,0
Alpmys,Mismatched errors,211
Jogo de Filosofia,Mismatched errors,0
Gestao CSF,Mismatched errors,0
Private Class,Mismatched errors,0
Kanleitos,Cannot resolve errors,0
Projeto Incluir,Cannot resolve errors,19283
Bartech,Cannot resolve errors,23
Calf Generator,Cannot resolve errors,0
Will List,Cannot resolve errors,1155
Novolharua,Cannot resolve errors,150
Age-of-Philosophy,Cannot resolve errors,7113
Apac,Cannot resolve errors,15
Pain-o-matic,Cannot resolve errors,1099
apacteca,Cannot resolve errors,0
pectometro,Cannot resolve errors,0
gmfonseca,Cannot resolve errors,34
Dcbio,Cannot resolve errors,0
Automecânica Vailante,Cannot resolve errors,0
Alpmys,Cannot resolve errors,698
Jogo de Filosofia,Cannot resolve errors,0
Gestao CSF,Cannot resolve errors,96
Private Class,Cannot resolve errors,18
Kanleitos,Assign Errors,0
Projeto Incluir,Assign Errors,8
Bartech,Assign Errors,26
Calf Generator,Assign Errors,2168236
Will List,Assign Errors,0
Novolharua,Assign Errors,15
Age-of-Philosophy,Assign Errors,522877
Apac,Assign Errors,3160
Pain-o-matic,Assign Errors,525767
apacteca,Assign Errors,0
pectometro,Assign Errors,11
gmfonseca,Assign Errors,70
Dcbio,Assign Errors,0
Automecânica Vailante,Assign Errors,0
Alpmys,Assign Errors,0
Jogo de Filosofia,Assign Errors,0
Gestao CSF,Assign Errors,0
Private Class,Assign Errors,228
Kanleitos,Redundant variable errors,0
Projeto Incluir,Redundant variable errors,0
Bartech,Redundant variable errors,0
Calf Generator,Redundant variable errors,1187
Will List,Redundant variable errors,0
Novolharua,Redundant variable errors,34
Age-of-Philosophy,Redundant variable errors,1376
Apac,Redundant variable errors,17
Pain-o-matic,Redundant variable errors,36
apacteca,Redundant variable errors,0
pectometro,Redundant variable errors,0
gmfonseca,Redundant variable errors,1301
Dcbio,Redundant variable errors,476
Automecânica Vailante,Redundant variable errors,0
Alpmys,Redundant variable errors,0
Jogo de Filosofia,Redundant variable errors,0
Gestao CSF,Redundant variable errors,0
Private Class,Redundant variable errors,0
Kanleitos,Tag errors,0
Projeto Incluir,Tag errors,30
Bartech,Tag errors,0
Calf Generator,Tag errors,0
Will List,Tag errors,0
Novolharua,Tag errors,152
Age-of-Philosophy,Tag errors,3
Apac,Tag errors,209
Pain-o-matic,Tag errors,0
apacteca,Tag errors,0
pectometro,Tag errors,3
gmfonseca,Tag errors,0
Dcbio,Tag errors,0
Automecânica Vailante,Tag errors,0
Alpmys,Tag errors,0
Jogo de Filosofia,Tag errors,0
Gestao CSF,Tag errors,0
Private Class,Tag errors,0
Kanleitos,Missing associated label,0
Projeto Incluir,Missing associated label,0
Bartech,Missing associated label,39
Calf Generator,Missing associated label,246
Will List,Missing associated label,0
Novolharua,Missing associated label,0
Age-of-Philosophy,Missing associated label,9
Apac,Missing associated label,0
Pain-o-matic,Missing associated label,2511
apacteca,Missing associated label,0
pectometro,Missing associated label,39
gmfonseca,Missing associated label,7787
Dcbio,Missing associated label,4291
Automecânica Vailante,Missing associated label,0
Alpmys,Missing associated label,0
Jogo de Filosofia,Missing associated label,0
Gestao CSF,Missing associated label,0
Private Class,Missing associated label,0
Kanleitos,Unused attributes,63
Projeto Incluir,Unused attributes,38
Bartech,Unused attributes,58
Calf Generator,Unused attributes,62000
Will List,Unused attributes,0
Novolharua,Unused attributes,2785
Age-of-Philosophy,Unused attributes,1655027
Apac,Unused attributes,45
Pain-o-matic,Unused attributes,646722
apacteca,Unused attributes,0
pectometro,Unused attributes,0
gmfonseca,Unused attributes,0
Dcbio,Unused attributes,629045
Automecânica Vailante,Unused attributes,0
Alpmys,Unused attributes,0
Jogo de Filosofia,Unused attributes,0
Gestao CSF,Unused attributes,0
Private Class,Unused attributes,26
Kanleitos,CSS property errors,0
Projeto Incluir,CSS property errors,0
Bartech,CSS property errors,0
Calf Generator,CSS property errors,149
Will List,CSS property errors,0
Novolharua,CSS property errors,0
Age-of-Philosophy,CSS property errors,6
Apac,CSS property errors,0
Pain-o-matic,CSS property errors,0
apacteca,CSS property errors,0
pectometro,CSS property errors,0
gmfonseca,CSS property errors,1691
Dcbio,CSS property errors,20015
Automecânica Vailante,CSS property errors,0
Alpmys,CSS property errors,0
Jogo de Filosofia,CSS property errors,0
Gestao CSF,CSS property errors,0
Private Class,CSS property errors,0
